n,m,cmin,cmax,dinic
2725,35425,1,1,5383781
2730,35490,1,1,5881851
2735,35555,1,1,5799420
2740,35620,1,1,7974516
2745,35685,1,1,7594750
2750,35750,1,1,5725129
2755,35815,1,1,6155028
2760,35880,1,1,5273719
2765,35945,1,1,6037979
2770,36010,1,1,6756271
2775,36075,1,1,9307154
2780,36140,1,1,6658735
2785,36205,1,1,9046171
2790,36270,1,1,6652547
2795,36335,1,1,7688630
2800,36400,1,1,5653056
2805,36465,1,1,6553938
2810,36530,1,1,6846885
2815,36595,1,1,6394988
2820,36660,1,1,11873295
2825,36725,1,1,6232252
2830,36790,1,1,6167350
2835,36855,1,1,5870367
2840,36920,1,1,5819967
2845,36985,1,1,9176871
2850,37050,1,1,6155821
2855,37115,1,1,6261614
2860,37180,1,1,6436356
2865,37245,1,1,6309276
2870,37310,1,1,6227055
2875,37375,1,1,6174696
2880,37440,1,1,7579550
2885,37505,1,1,6471689
2890,37570,1,1,8033154
2895,37635,1,1,6753356
2900,37700,1,1,11608584
2905,37765,1,1,6620925
2910,37830,1,1,6832931
2915,37895,1,1,6927913
2920,37960,1,1,6703179
2925,38025,1,1,7811647
2930,38090,1,1,6334278
2935,38155,1,1,6152793
2940,38220,1,1,9080987
2945,38285,1,1,6563353
2950,38350,1,1,5985217
2955,38415,1,1,6435833
2960,38480,1,1,7338648
2965,38545,1,1,8104328
2970,38610,1,1,6881677
2975,38675,1,1,6661583
2980,38740,1,1,6541173
2985,38805,1,1,6854366
2990,38870,1,1,6060019
2995,38935,1,1,6285206
3000,39000,1,1,6320605
