n,m,dual_lp
700,85600,1290423116
700,85700,1666516055
700,85800,1551864205
700,85900,1342344371
700,86000,1470835042
700,86100,1499927350
700,86200,1512195641
700,86300,1486838116
700,86400,1327399647
700,86500,1525533730
700,86600,1399306847
700,86700,1245345827
700,86800,1420623069
700,86900,1557858633
700,87000,1447166647
700,87100,1493870100
700,87200,1593039300
700,87300,1582613853
700,87400,1462414443
700,87500,1561635563
700,87600,1459552865
700,87700,1711030263
700,87800,1534933839
700,87900,1344782553
700,88000,1526364181
700,88100,1504889406
700,88200,1610617955
700,88300,1516750590
700,88400,1468790204
700,88500,1829131428
700,88600,1435443432
700,88700,1551287779
700,88800,1454710338
700,88900,1457965753
700,89000,1634290887
700,89100,1298458664
700,89200,1485923972
700,89300,1616501771
700,89400,1548237124
700,89500,1527354274
700,89600,1592359355
700,89700,1439768555
700,89800,1314516399
700,89900,1550925060
700,90000,1389925130
700,90100,1366620411
700,90200,1647685134
700,90300,1667444767
700,90400,1641714643
700,90500,1534458517
700,90600,1388612133
700,90700,1510916788
700,90800,1581722582
700,90900,1404932084
700,91000,1649005264
700,91100,1674881664
700,91200,1657204058
700,91300,1532161467
700,91400,1620793925
700,91500,1488222937
700,91600,1416896701
700,91700,1502450423
700,91800,1800383926
700,91900,1541607035
700,92000,1577099678
700,92100,1407369111
700,92200,1502941587
700,92300,1562341271
700,92400,1563098112
700,92500,1632964720
700,92600,1601870625
700,92700,1566797003
700,92800,1421766504
700,92900,1650070867
700,93000,1690231778
700,93100,1427261756
700,93200,1563190482
700,93300,1599021459
700,93400,1457925288
700,93500,1665386255
700,93600,1686376869
700,93700,1792940754
700,93800,1575656888
700,93900,1864134179
700,94000,1389873203
700,94100,1485309797
700,94200,1706664472
700,94300,1487585478
700,94400,1551002012
700,94500,1669623720
700,94600,1460106576
700,94700,1552140746
700,94800,1678741244
700,94900,1820139805
700,95000,1631646440
700,95100,1752075692
700,95200,1801377492
700,95300,1700085513
700,95400,1622901365
700,95500,1714483214
700,95600,1689749628
700,95700,1597633517
700,95800,1867628776
700,95900,1581011647
700,96000,1586226115
700,96100,1433423633
700,96200,1734939071
700,96300,1471270768
700,96400,1715392613
700,96500,1516959604
700,96600,1486291610
700,96700,1798561987
700,96800,1643661795
700,96900,1852101077
700,97000,1576814620
700,97100,1809135629
700,97200,1645486910
700,97300,1604856079
700,97400,1630403374
700,97500,1546833983
700,97600,1637704871
700,97700,1648327115
700,97800,1749619432
700,97900,1555589073
700,98000,1796166316
700,98100,1618983086
700,98200,1531720319
700,98300,1513582324
700,98400,2067357311
700,98500,1591417054
700,98600,1628656011
700,98700,1725367058
700,98800,1786693843
700,98900,1636829483
700,99000,1685109857
700,99100,1791552504
700,99200,1539143275
700,99300,1821499192
700,99400,1527260092
700,99500,1527681069
700,99600,1440428827
700,99700,1630111846
700,99800,1656190544
700,99900,1475977150
700,100000,1555159555
700,100100,1557950374
700,100200,1975711089
700,100300,1894134140
700,100400,1672266253
700,100500,1684529816
700,100600,1776411442
700,100700,1777253058
700,100800,1593112086
700,100900,1499318748
700,101000,1484240192
700,101100,1613536304
700,101200,1745865164
700,101300,1623530630
700,101400,1508464080
700,101500,1910106785
700,101600,1952175584
700,101700,1974923579
700,101800,1735604715
700,101900,1850972370
700,102000,1671146620
700,102100,1604241451
700,102200,1578350476
700,102300,1551778887
700,102400,1772848377
700,102500,1491698421
700,102600,1483481424
700,102700,1764850078
700,102800,1818579237
700,102900,1762560226
700,103000,1819308434
700,103100,1610036055
700,103200,1502879281
700,103300,1721746274
700,103400,1598812399
700,103500,1617160997
700,103600,1712265034
700,103700,1515108970
700,103800,1635836445
700,103900,1757154415
700,104000,1533729501
700,104100,2053947241
700,104200,1518734039
700,104300,1832161524
700,104400,1776124194
700,104500,1556564853
700,104600,1555427141
700,104700,1536440582
700,104800,1802923019
700,104900,1653527749
700,105000,1635597004
700,105100,1774119734
700,105200,1565857604
700,105300,1937699462
700,105400,1760754894
700,105500,1848030902
700,105600,1772996192
700,105700,1966269031
700,105800,1853275389
700,105900,1815364044
700,106000,2009953430
700,106100,1922039506
700,106200,2042030929
700,106300,1849170634
700,106400,2120826786
700,106500,1694831449
700,106600,1712669329
700,106700,1838341711
700,106800,1954080546
700,106900,1947265003
700,107000,1672123981
700,107100,1565178559
700,107200,2083088288
700,107300,1719134311
700,107400,1786767259
700,107500,1560472932
700,107600,1911288770
700,107700,1965900313
700,107800,2062895759
700,107900,1927496820
700,108000,1689040541
700,108100,2071832126
700,108200,1688054508
700,108300,1686857618
700,108400,1685555594
700,108500,1844993545
700,108600,1706336780
700,108700,1708817604
700,108800,1722674314
700,108900,2058090078
700,109000,1723927636
700,109100,1949609764
700,109200,1672442482
700,109300,1943901258
700,109400,2119382266
700,109500,1746647230
700,109600,1773332093
700,109700,1709720135
700,109800,1975090893
700,109900,1644105429
700,110000,1854552543
700,110100,1973528827
700,110200,1640215130
700,110300,1749784407
700,110400,2116053145
700,110500,1746962594
700,110600,1737180754
700,110700,1668266592
700,110800,1733147803
700,110900,1869613954
700,111000,2072081057
700,111100,2051724107
700,111200,2039804811
700,111300,1755291155
700,111400,2015312109
700,111500,2088548263
700,111600,2018976279
700,111700,2050502343
700,111800,1935720353
700,111900,1768631868
700,112000,1676915983
700,112100,1889679594
700,112200,1655297847
700,112300,1896693655
700,112400,2101818030
700,112500,2053730205
700,112600,1799442084
700,112700,1792493682
700,112800,1784878837
700,112900,1956106126
700,113000,1675448039
700,113100,2133153663
700,113200,1927164864
700,113300,1815101700
700,113400,2097987927
700,113500,1685913455
700,113600,1817899631
700,113700,1807851193
700,113800,1778048965
700,113900,1694409657
700,114000,1841949842
700,114100,1780531428
700,114200,1950975610
700,114300,2213979345
700,114400,2039965396
700,114500,1685874586
700,114600,2214664658
700,114700,1951536269
700,114800,2081064056
700,114900,2264367622
700,115000,1848814329
700,115100,2195962779
700,115200,1807111652
700,115300,1728961895
700,115400,1984716721
700,115500,2306167624
700,115600,1881297725
700,115700,2088562219
700,115800,1730614785
700,115900,2150900355
700,116000,2057613011
700,116100,1984286789
700,116200,1754227380
700,116300,2145700070
700,116400,1742814797
700,116500,2260176126
700,116600,1981987963
700,116700,1886856150
700,116800,2094957920
700,116900,2111535016
700,117000,1740593274
700,117100,2112257163
700,117200,1834700852
700,117300,2007009588
700,117400,1858154169
700,117500,2040055535
700,117600,1882685965
700,117700,1889760324
700,117800,2011016176
700,117900,1801357936
700,118000,1786510414
700,118100,1876395063
700,118200,1865134764
700,118300,2123118147
700,118400,2261372400
700,118500,1880360525
700,118600,1827540268
700,118700,2212735987
700,118800,2282956178
700,118900,2037152237
700,119000,2016102658
700,119100,2073796691
700,119200,1839075634
700,119300,1925317087
700,119400,2184001175
700,119500,2174040279
700,119600,1886607888
700,119700,2038958452
700,119800,1827616670
700,119900,1935513786
700,120000,2331413671
700,120100,2275974360
700,120200,1814096097
700,120300,2225857038
700,120400,2097316449
700,120500,2134289305
700,120600,1885791546
700,120700,2363589783
700,120800,2431691305
